player,sport,seasons_present,archetypes_seen,n_changes,most_common_archetype
Alec Burks,nba,9,4,7,The Scorer
Seth Curry,nba,8,4,7,The Scorer
Bobby Portis,nba,9,3,6,The Workhorse
Derrick Jones Jr.,nba,7,4,6,The Connector
Jerami Grant,nba,9,6,6,The Scorer
Kyle Anderson,nba,9,3,6,The Glue Guy
Mason Plumlee,nba,9,3,6,The Workhorse
Mike Muscala,nba,9,3,6,The Glue Guy
Thaddeus Young,nba,8,3,6,The Workhorse
Evan Fournier,nba,8,3,5,The Scorer
Kelly Olynyk,nba,9,2,5,The Workhorse
Kentavious Caldwell-Pope,nba,9,2,5,The Scorer
Larry Nance Jr.,nba,9,3,5,The Glue Guy
Luke Kennard,nba,7,4,5,The Scorer
Malik Beasley,nba,7,3,5,The Scorer
Markieff Morris,nba,6,3,5,The Glue Guy
Maurice Harkless,nba,7,3,5,The Connector
Richaun Holmes,nba,8,4,5,The Enforcer
Taurean Prince,nba,8,4,5,The Glue Guy
Tim Hardaway Jr.,nba,9,3,5,The Scorer
Aaron Gordon,nba,9,3,4,The Workhorse
Andre Iguodala,nba,6,3,4,The Creator
Andrew Wiggins,nba,9,3,4,The Scorer
Avery Bradley,nba,7,4,4,The Connector
Bruce Brown,nba,6,4,4,The Glue Guy
Buddy Hield,nba,8,3,4,The Scorer
Cam Reddish,nba,5,3,4,The Scorer
Cedi Osman,nba,7,3,4,The Connector
Coby White,nba,5,3,4,The Creator
Cody Zeller,nba,6,3,4,The Enforcer
Danilo Gallinari,nba,8,4,4,The Scorer
Dario Saric,nba,7,3,4,The Workhorse
Derrick Favors,nba,7,3,4,The Enforcer
Donte DiVincenzo,nba,5,4,4,The Scorer
Doug McDermott,nba,9,2,4,The Scorer
Frank Kaminsky,nba,6,3,4,The Glue Guy
Harrison Barnes,nba,9,2,4,The Scorer
Jeremy Lamb,nba,7,4,4,The Scorer
Justin Holiday,nba,9,3,4,The Connector
Justise Winslow,nba,7,2,4,The Glue Guy
